price,title,distance,date-posted,location,description
2775,3 BED 3 BATH - PRIVATE ENSUITE BATHROOM FOR EVERY RESIDENT!,,07012021,Kingston,Starting at $925/Bedroom per Month Private ensuite bathroom for every resident! Designed for safety and social distance âœ“ Private entrances âœ“ Private bathrooms CURRENTLY UNDER CONSTRUCTION - LEASING ...
2455,MODERN 3-Bedroom Apartment Downtown - 5 Mins to Queen's May 2021,5,17012021,Kingston,"3D virtual tour available â€“ contact for details! http://mackinnondev.ca/rental/122-sydenham/ 3-bedroom apartment on the third floor of a professionally-maintained brick complex in heart of downtown ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2625,Renovated from top to bottom! 3 Bedroom - Available May 1st,,07012021,Kingston,"It is a beautiful spacious unit in a great location. This property has all stainless steel appliances and an in-suite washer/dryer. All our properties have keyless entry, a full-time maintenance ..."
1950,"2 Bedroom, Available May 1st, 2021 - 10 MINS FROM QUEENS!",10,14012021,Kingston,"Just 10 minutes to Queen's University, and steps from Groceries and Downtown. The suite features two spacious bedrooms, laminate hardwood floors and other updated finishes. The updated Kitchen boasts ..."
2673,RENOVATED 3-Bedroom Apartment - 5 Mins to Queen's - May 2021,5,17012021,Kingston,"Completely renovated, 3-bedroom apartment is on the main floor of a professionally-maintained brick complex in heart of downtown Kingston, with a less than 6-minute walk to Queenâ€™s University and ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
650,HOUSE RENTAL-1 BEDROOM-FEMALE-ONE MIN WALK TO QUEENS UNIVERSITY,1,23012021,Kingston,"Located just a one minute walk from Queen's University's west campus (Faculty of Education & Faculty of English), 10 min bus ride to Queen's University's main campus, 5 min walk to the village ..."
650,HOUSE RENTAL-1 BEDROOM-FEMALE-ONE MIN WALK TO QUEENS UNIVERSITY,1,23012021,Kingston,"Located just a one minute walk from Queen's University's west campus (Faculty of Education & Faculty of English), 10 min bus ride to Queen's University's main campus, 5 min walk to the village ..."
650,"LRG 6Bdrm, 15 Min to Queens, Modern & Spacious $650/rm, Sep 1",15,23012021,Kingston,"Spacious 6 bed home. 15 min walk to Uni. Prime location! 1 KM to 99 University Ave (Main Campus) EXCEPTIONAL, LARGE HOME. 15 min walk to Uni. This high end home is close to everything! It is a short ..."
,Queen's Student Rentals! - Many Units Available on Our Website,,23012021,Kingston,"Attention Queen's students! Are you looking for a rental for May 2021? Look no further, Amber Peak Property Management Ltd. has many well-located housing options to explore. Please see our website ..."
1995,Gorgeous 2 bed 1 Bath Brand new Condo,,23012021,Kingston,"2 BEDROOM , 1 BATHROOM UNIT Water & Heat Included! 630 PRINCESS ST. - LUXURY STUDENT RENTALS ***ONLY 12 MIN. WALK TO QUEENS, AND THE HUB, ALSO ON A MAJOR BUS ROUTE*** AMAZING STUDENT HOUSING BUILDING ...                                                                                                                                                                                                                                                                                    Beautiful Condos centrally located"
585,1st Year SLC Students - Searching for Housing for May 1st?,,21012021,Kingston,"Great house available May 1st just 3 minutes from campus as current students graduating. Spacious common areas include kitchen with 2 fridges, stove, dishwasher and microwave, huge living room/dining ..."
1995,Modern 2 BEDROOM STUDENT RENTAL - HEAT & WATER INCLUDED,,21012021,Kingston,"2 BEDROOM , 1 BATHROOM UNIT Water & Heat Included! 630 PRINCESS ST. - LUXURY STUDENT RENTALS ***ONLY 12 MIN. WALK TO QUEENS, AND THE HUB, ALSO ON A MAJOR BUS ROUTE*** AMAZING STUDENT HOUSING BUILDING ..."
,Wanted:                            3 bedroom apt/house,,21012021,Kingston,"Hello, we are a group of three students currently in our third year at Queen's University. We are looking for a 3 bedroom house or apartment to rent beginning May 1, 2021. If you have any properties ..."
1000,Wanted:                            3 Queens 2nd years looking for rental near Campus,,21012021,Kingston,"Ideal really close to Queens campus. 3 serious and responsible 2nd year students looking for accommodations. Wish list; furnished, September 1, close to campus & ARC laundry on site, Max $1000 each ..."
300,5 Bedroom 2 Bathroom Student Only House,,21012021,Kingston,5 bedrooms with 2 Bathrooms. Comes with a large kitchen and living room with included laundry. We are a co-ed house with 2 male housemates and 1 female. One of us is working while the others are ...
590,University Student Housing,,20012021,Kingston,"Welcome to Kingston, Canada! These are fully furnished rooms with dresser, bed plus bedding, cookware, dishes, silverware, internet and free use of washer and dryer. Ready rental with no need to buy ..."
,SLC 1st Year Students - Looking for Housing for May 1st?,,20012021,Kingston,"We have two nice houses 3 minutes from campus available May 1st one with 6/7 bedrooms and the other with 4 bedrooms. Both houses have spacious common areas, good sized bedrooms, laundry, 2-3 ..."
510,510$/month 650m from St. Lawrence College & 3.2km from Queens U,,18012021,Kingston,"4 bedroom/ 1 bathroom basements unit, we are looking for 1 more person to fill the 4th room. The unit is fully furnished with dryer, washing machine, dishwasher & etc. except for the bedroom, The ..."
874,3 Bed 1 Bath FURNISHED Student Rental near Campus!,,18012021,Kingston,"3 Bed 1 Bath FURNISHED Apartments starting at $874/bedroom! 326 Alfred St or 1 Mack St, Foundry Mack Housing Complex 12-month lease from May 2020 to April 2021 Includes: 3 Spacious Bedrooms 1 Full ...                                                                                                                                                                                                                                                                                    Forge your Future with Us!"
2355,TOP FLOOR 3-Bedroom Apartment - New Build - 8 mins to Queen's,8,17012021,Kingston,"3D virtual tour available â€“ contact for details! http://mackinnondev.ca/rental/134-colborne/ This 3-bedroom apartment is on the top floor of a newly constructed triplex in a safe and quiet ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2455,~ NEW 3-BEDROOM APARTMENT ~ 5 Mins to Queen's ~ May 2021,5,17012021,Kingston,"3D virtual tour available â€“ contact for details! 3-bedroom apartment on the third floor of a professionally-maintained brick complex in heart of downtown Kingston, with a less than 6-minute walk to ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2455,MODERN 3-Bedroom Apartment Downtown - 5 Mins to Queen's May 2021,5,17012021,Kingston,"3D virtual tour available â€“ contact for details! http://mackinnondev.ca/rental/122-sydenham/ 3-bedroom apartment on the third floor of a professionally-maintained brick complex in heart of downtown ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
1405,GROUND FLOOR 1-BEDROOM with Private Entrance - 5 Mins to Queen's,5,17012021,Kingston,"3D virtual tour available â€“ contact for details! This 1-bedroom apartment on the main floor of a professionally-maintained brick complex in heart of downtown Kingston, with a less than 6-minute walk ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
1300,~~ HUGE TOP FLOOR 1-BEDROOM ~ 5 Mins to Queen's ~ May 2021,5,17012021,Kingston,"3D virtual tour available â€“ contact for details! This huge 1-bedroom apartment is located on the top floor of a completely renovated downtown triplex, across the street from Hotel Dieu Hospital. A ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2673,RENOVATED 3-Bedroom Apartment - 5 Mins to Queen's - May 2021,5,17012021,Kingston,"Completely renovated, 3-bedroom apartment is on the main floor of a professionally-maintained brick complex in heart of downtown Kingston, with a less than 6-minute walk to Queenâ€™s University and ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2850,3-BEDROOM APARTMENT ~ 1 Minute to Queen's ~ Utils Incl,1,17012021,Kingston,"3D virtual tour available â€“ contact for details! 3-bedroom apartment on the second floor of a well-maintained duplex in a safe and quiet neighbourhood. Located a very short 1-minute walk to Queenâ€™s ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
2400,"4-Bdr. STUDENT HOUSING, University/Princess Streets",,17012021,Kingston,"VIDEO WALK-THRU NOW AVAILABLE = MODERN, Energy-efficiencies, Code Compliant, spacious, equal sized bedroom, low cost utilities, security entrance, 8-min. walk to main campus, 5 min. to Metro, UPS, ..."
4125,MASSIVE 5-BEDROOM HOUSE ~ Utilities Included ~ 5 Mins to Queen's,5,16012021,Kingston,"3D virtual tour available â€“ contact for details! This huge 5-bedroom apartment is located on the second and third floors of a historic, downtown duplex. A nice 5-minute walk to Queenâ€™s University and ...                                                                                                                                                                                                                                                                                    Exceptional Student Housing In Prime Locations, Just Minutes From Queen's University."
