address,bedrooms,date-available,landlords,price,title,url,A/C,electric,heat
"233 Brock St., Kingston, Ontario",1,2222021,Keystone Properties,795,Shared Accommodation- Rooms ,listing.html?id=52,1,1,1
"200-7 Queen St., Kingston, Ontario",1,2522021,Keystone Properties,1295,Bachelor Apartment,listing.html?id=189,0,0,1
"272.5-17 Princess St., Kingston, Ontario",1,1622021,Keystone Properties,1295,Bachelor Apartment,listing.html?id=142,0,0,0
"272.5-3 Princess St., Kingston, Ontario",1,2952021,Keystone Properties,1495,Bachelor Apartment ,listing.html?id=129,0,0,0
"200-2 Queen St., Kingston, Ontario",1,1922021,Keystone Properties,1495,1 Bedroom Apartment,listing.html?id=185,0,0,1
"194-4 Sydenham St., Kingston, Ontario",1,1552021,Keystone Properties,1495,1 Bedroom Apartment,listing.html?id=220,0,0,1
"265-5 Princess St., Kingston, Ontario",1,2722021,Keystone Properties,1695,1 Bedroom Apartment,listing.html?id=93,0,0,0
"272.5-22 Princess St., Kingston, Ontario",1,1122021,Keystone Properties,1695,1 Bedroom Apartment,listing.html?id=147,0,0,0
"272.5-13 Princess St., Kingston, Ontario",1,1722021,Keystone Properties,1767,1 Bedroom Apartment,listing.html?id=138,0,0,0
"314-2 Princess St, Kingston, Ontario",1,2922021,Keystone Properties,1795,1 Bedroom Apartment,listing.html?id=156,0,0,0
"272.5-11 Princess St., Kingston, Ontario",1,2922021,Keystone Properties,1795,1 Bedroom Apartment,listing.html?id=136,0,0,0
"267-307 Princess St., Kingston, Ontario",1,1952021,Keystone Properties,1920,1 Bedroom Apartment,listing.html?id=126,1,0,0
"322-2 Princess St., Kingston, Ontario",2,24012021,Keystone Properties,1712,Beautiful 2 bedroom,listing.html?id=164,1,0,1
"332-4 Princess St., Kingston, Ontario",2,1452021,Keystone Properties,1838,2 Bedroom Apartment,listing.html?id=172,0,0,0
"322-1 Princess St., Kingston, Ontario",2,24012021,Keystone Properties,1838,2 Bedroom Apartment,listing.html?id=163,0,0,1
"272.5-16 Princess St., Kingston, Ontario",2,2652021,Keystone Properties,1848,2 Bedroom Apartment,listing.html?id=141,0,0,0
"267-201 Princess St., Kingston, Ontario",2,2222021,Keystone Properties,2398,2 Bedroom Apartment,listing.html?id=113,0,0,0
"186-202 Sydenham St., Kingston, Ontario",3,1422021,Keystone Properties,2595,3 Bedroom Apartment ,listing.html?id=216,0,0,0
"289-2 Princess St., Kingston, Ontario",3,1452021,Keystone Properties,2604,3 Bedroom Apartment,listing.html?id=149,0,0,0
